municipio;ano;mes;internacoes
CAMPO BOM;2015;2;3
CAMPO BOM;2015;3;0
CAMPO BOM;2015;4;0
CAMPO BOM;2015;5;1
CAMPO BOM;2015;6;0
CAMPO BOM;2015;7;0
CAMPO BOM;2015;8;0
CAMPO BOM;2015;9;0
CAMPO BOM;2015;10;0
CAMPO BOM;2015;11;0
CAMPO BOM;2015;12;0
CAMPO BOM;2016;1;0
CAMPO BOM;2016;2;0
CAMPO BOM;2016;3;0
CAMPO BOM;2016;4;1
CAMPO BOM;2016;5;0
CAMPO BOM;2016;6;0
CAMPO BOM;2016;7;0
CAMPO BOM;2016;8;0
CAMPO BOM;2016;9;0
CAMPO BOM;2016;10;0
CAMPO BOM;2016;11;0
CAMPO BOM;2016;12;0
CAMPO BOM;2017;1;0
CAMPO BOM;2017;2;0
CAMPO BOM;2017;3;1
CAMPO BOM;2017;4;0
CAMPO BOM;2017;5;0
CAMPO BOM;2017;6;0
CAMPO BOM;2017;7;0
CAMPO BOM;2017;8;0
CAMPO BOM;2017;9;0
CAMPO BOM;2017;10;0
CAMPO BOM;2017;11;0
CAMPO BOM;2017;12;0
CAMPO BOM;2018;1;0
CAMPO BOM;2018;2;0
CAMPO BOM;2018;3;1
CAMPO BOM;2018;4;0
CAMPO BOM;2018;5;0
CAMPO BOM;2018;6;0
CAMPO BOM;2018;7;0
CAMPO BOM;2018;8;0
CAMPO BOM;2018;9;0
CAMPO BOM;2018;10;0
CAMPO BOM;2018;11;0
CAMPO BOM;2018;12;0
CAMPO BOM;2019;1;3
CAMPO BOM;2019;2;0
CAMPO BOM;2019;3;1
CAMPO BOM;2019;4;0
CAMPO BOM;2019;5;1
CAMPO BOM;2019;6;0
CAMPO BOM;2019;7;0
CAMPO BOM;2019;8;0
CAMPO BOM;2019;9;0
CAMPO BOM;2019;10;0
CAMPO BOM;2019;11;0
CAMPO BOM;2019;12;0
CAMPO BOM;2020;1;1
CAMPO BOM;2020;2;1
CAMPO BOM;2020;3;0
CAMPO BOM;2020;4;0
CAMPO BOM;2020;5;0
CAMPO BOM;2020;6;0
CAMPO BOM;2020;7;0
CAMPO BOM;2020;8;0
CAMPO BOM;2020;9;0
CAMPO BOM;2020;10;0
CAMPO BOM;2020;11;0
CAMPO BOM;2020;12;0
CAMPO BOM;2021;1;0
CAMPO BOM;2021;2;0
CAMPO BOM;2021;3;0
CAMPO BOM;2021;4;0
CAMPO BOM;2021;5;0
CAMPO BOM;2021;6;0
CAMPO BOM;2021;7;0
CAMPO BOM;2021;8;0
CAMPO BOM;2021;9;0
CAMPO BOM;2021;10;0
CAMPO BOM;2021;11;0
CAMPO BOM;2021;12;0
CAMPO BOM;2022;1;0
