Município;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;2025/Jan;2025/Fev;2025/Mar;2025/Abr;2025/Mai;2025/Jun;2025/Jul;2025/Ago;2025/Set;2025/Out;2025/Nov;2025/Dez
431560 RIO GRANDE;1;1;1;1;2;8;15;9;2;5;1;1;1;1;3;-;1;13;23;16;9;4;3;-;3;-;9;-;-;8;20;25;11;11;1;6;-;2;1;2;5;11;22;9;11;4;6;3;1;1;1;7;7;13;22;16;21;20;7;6;2;2;3;1;2;1;1;-;1;1;1;1;4;3;-;3;9;4;4;1;2;9;5;4;2;2;4;7;13;8;16;7;11;5;7;13;13;2;7;13;20;25;14;11;8;7;4;4;4;1;-;7;-;19;25;22;22;8;6;7;2;2;2;-;5;17;32;30;21;13;7;2
431570 RIO PARDO;-;-;-;1;1;2;4;2;1;3;-;-;1;1;3;-;-;6;5;-;1;-;-;-;-;-;-;-;3;2;2;2;2;1;1;-;-;-;-;-;-;-;3;2;1;-;1;-;-;-;-;1;-;1;1;1;-;-;-;1;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;1;-;1;1;-;-;-;1;-;1;1;-;-;1;1;-;-;-;-;-;1;1;1;3;2;-;-;-;-;1;-;-;1;-;-;3;1;-;-;1;2;-;-;-;-;1;1;3;5;2;-;1;-;-
431690 SANTA MARIA;-;-;4;2;5;3;4;4;1;2;1;-;-;-;-;-;-;9;5;3;7;1;1;-;-;1;1;1;10;13;6;5;-;6;3;1;-;-;2;2;9;11;15;8;6;3;2;-;3;-;1;5;24;30;33;14;20;16;10;2;-;2;2;-;-;-;-;-;-;1;2;1;-;-;2;6;4;5;5;2;4;9;4;1;-;-;2;6;13;22;8;6;4;5;5;5;1;2;6;10;23;23;13;5;7;2;5;1;-;5;1;7;7;18;14;13;14;7;7;7;1;2;1;8;18;33;31;13;9;5;2;-
431720 SANTA ROSA;4;3;5;11;20;14;10;11;2;7;6;8;3;3;4;9;15;23;14;9;6;12;7;3;2;3;3;10;13;14;11;12;7;12;11;12;5;1;7;3;10;19;24;19;18;19;9;5;6;5;10;18;19;32;35;25;25;15;4;3;3;3;5;5;1;1;3;4;3;-;-;2;-;-;-;-;2;2;10;4;8;14;6;8;-;-;2;7;14;13;27;3;10;2;6;6;2;3;1;11;13;23;9;3;7;5;7;1;3;3;2;1;13;27;15;22;17;6;8;3;3;2;4;9;16;23;19;9;8;12;6;3
431740 SANTIAGO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;7;1;-;-;2;1;-;-;-;-;1;-;1;1;1;1;1;-;-;-;1;1;1;-;2;2;1;-;-;-;-;-;-;1;4;2;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-
431780 SANTO AUGUSTO;-;-;-;-;-;5;-;-;-;1;3;1;1;2;2;2;2;1;1;-;1;2;-;-;-;-;-;-;1;2;2;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;5;3;2;3;-;-;-;-;2;2;-;3;5;-;1;-;-;-
431800 SAO BORJA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3;1;-;-;1;1;-;-;1;1;-;1;3;1;2;2;1;2;-;-;2;1;1;2;4;6;8;2;3;1;1;-;1;3;3;5;7;14;8;10;8;3;1;1;-;3;1;1;-;1;1;-;-;-;-;-;-;-;-;3;10;3;5;10;9;5;4;1;1;-;8;11;27;33;19;12;18;3;7;1;-;11;14;18;16;13;16;12;11;3;4;2;4;2;8;16;15;10;13;7;7;5;4;2;1;1;3;3;15;15;14;5;2;-;-
432080 SOLEDADE;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;6;5;1;2;-;1;-;-;-;1;4;3;1;1;-;-;1;-;1;-;1;-;2;1;4;-;3;-;1;-;-;-;-;-;1;2;1;3;2;2;1;2;3;2;5;1;3;1;1;-;1;1;-;2;-;-;-;1;-;2;2;5;5;2;-;1;1;-;1;7;4;3;7;5;5;4;2;3;-;3;1;3;34;10;3;5;4;4;-;-;-;-;1;2;-;-;1;-;2;-;-;-;-;-;-;2;3;2;7;4;3;4;1;-
432145 TEUTONIA;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
432150 TORRES;-;-;-;-;1;3;-;-;-;-;-;-;1;-;-;-;-;-;7;2;2;1;2;1;1;1;-;2;7;5;5;2;3;1;2;1;1;1;2;-;2;7;6;2;2;4;1;1;-;-;2;2;5;5;2;2;3;3;1;1;-;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;5;4;6;5;5;5;8;2;1;-;1;2;4;5;8;7;1;6;1;2;3;-;2;8;5;10;8;5;1;5;3;-;-;1;-;2;2;1;1;4;-;2;1;-;-;1;1;1;2;5;3;2;3;3;2;-
432160 TRAMANDAI;1;2;4;4;4;6;4;3;1;5;-;-;2;1;-;-;7;6;11;12;4;2;3;2;-;-;1;1;3;5;6;3;2;4;3;1;-;-;1;1;4;16;3;2;-;5;4;1;-;1;1;-;5;12;4;4;1;1;4;-;2;2;2;-;2;-;1;1;1;-;-;-;1;2;2;5;2;6;2;7;7;2;2;2;-;2;6;10;11;7;16;12;6;13;6;8;2;4;14;6;15;9;7;5;7;9;11;5;1;-;5;12;7;5;8;8;7;6;3;5;1;1;3;8;18;13;22;13;15;11;8;4
432240 URUGUAIANA;1;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;4;4;-;-;-;-;3;-;1;-;1;2;10;11;1;1;-;1;3;-;2;2;10;10;17;11;10;5;5;5;-;3;3;6;22;26;23;6;4;5;2;4;1;-;6;3;6;12;21;14;18;5;6;4;1;1;-;3;7;13;50;22;2;5;8;-
432250 VACARIA;1;-;4;2;7;19;10;3;3;7;2;1;-;-;-;-;2;6;7;4;7;2;4;-;-;1;1;1;16;22;10;4;1;5;5;8;-;-;1;5;2;10;13;10;2;5;-;3;-;-;8;7;13;5;8;8;12;6;5;2;-;-;4;-;1;3;-;-;2;-;-;1;-;-;-;1;-;1;1;9;7;-;1;-;1;-;-;3;-;4;11;6;1;-;-;1;1;1;1;6;14;4;4;1;2;5;1;3;1;2;4;8;9;11;7;1;1;-;2;-;-;-;-;-;1;3;7;1;-;3;1;-
